id,Tipo_despesa,Data,Fornecedor,Valor (R$),nome,partido,uf,email
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-12,BRASIL ADM E SERVIÇOS DE COBRANÇA,250.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-19,BROAD BRASIL LTDA,1050.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-19,BROAD BRASIL LTDA,1050.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-22,BROAD BRASIL LTDA,1050.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-24,BROAD BRASIL LTDA,1050.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-11,BROAD BRASIL LTDA,1050.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-30,CONDOMÍNIO EDÍFICIL COMERCIAL CONCORDE,659.77,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-20,CONDOMÍNIO EDÍFICIL COMERCIAL CONCORDE,626.78,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-19,CONDOMÍNIO EDÍFICIL COMERCIAL CONCORDE,659.77,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-13,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,518.55,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-02,Google Cloud Brasil Computação e Serviços de Dados Ltda,336.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-31,JOSÉ MIGUEL DE ARRUDA PELISSARI,7000.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-02,JOSÉ MIGUEL DE ARRUDA PELISSARI,7000.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-06,JOSÉ MIGUEL DE ARRUDA PELISSARI,7000.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
220593,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-01,JOSÉ MIGUEL DE ARRUDA PELISSARI,7000.0,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
204379,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-03,Amoretto cafes expresso ltda,750.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-08-06,AMORETTO CAFES EXPRESSO LTDA,750.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-03,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,215.62,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-08,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,349.98,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-26,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,300.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-08,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-09,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,300.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-21,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,300.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-27,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,322.01,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-29,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,324.63,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-06,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,341.29,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-13,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,300.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-24,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-24,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,50.0,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
204379,COMBUSTÍVEIS E LUBRIFICANTES.,2024-07-01,072 - 403 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,273.32,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-01,045 - QL 02 - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-15,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-17,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-13,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-15,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-31,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-02,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-05,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-08,076 - MELHOR 10 - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-06,076 - MELHOR 10 - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-08-04,076 - MELHOR 10 - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-04,AL POSTO FUTURO COMERCIO DE COMBUSTIVEIS LTDA.,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-16,AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,200.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-22,AUTO POSTO AEROPORTO LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
220714,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-17,AUTO POSTO AEROPORTO LTDA,100.0,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-01,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-01,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-01,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-04,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-01,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-08-01,AGROLANA AGRONEGÓCIOS,5500.0,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-18,CPFL energia,53.37,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-16,CPFL energia,43.14,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-16,CPFL energia,47.25,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-17,CPFL energia,44.11,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-04,LIVRARIA TAKAHASHI LTDA,205.42,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-06,19 - 303 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,278.24,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-13,71.320.915/0039-03,138.32,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-14,ANTONIO DOMINGUES DE OLIVEIRA SAO CARLOS,120.01,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
221328,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-21,AUGUSTO URIAS DA CRUZ E FILHOS LTDA,221.2,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
204560,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-19,BROAD BRASIL LTDA,850.0,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-19,BROAD BRASIL LTDA,850.0,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-22,BROAD BRASIL LTDA,850.0,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-06-24,BROAD BRASIL LTDA,850.0,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-07-11,BROAD BRASIL LTDA,850.0,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-17,AUTO POSTO 303 NORTE LTDA,307.34,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-02-29,AUTO POSTO 303 NORTE LTDA,287.67,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-02-27,AUTO POSTO 303 NORTE LTDA,325.02,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-03-05,AUTO POSTO 303 NORTE LTDA,290.57,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-05-31,AUTO POSTO 303 NORTE LTDA,453.64,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-03-11,AUTO POSTO 303 NORTE LTDA,303.06,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-06-05,AUTO POSTO 303 NORTE LTDA,306.23,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-03-19,AUTO POSTO 303 NORTE LTDA,255.04,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-10,AUTO POSTO 303 NORTE LTDA,288.58,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204560,COMBUSTÍVEIS E LUBRIFICANTES.,2024-04-22,AUTO POSTO 303 NORTE LTDA,205.32,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-22,Adobe Systems Software Ireland Ltd,275.0,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-22,Adobe Systems Software Ireland Ltd,275.0,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-22,Adobe Systems Software Ireland Ltd,275.0,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-04-22,Airtable,649.5,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-22,Airtable,670.87,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-22,Airtable,598.69,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-03-12,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA,147.05,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-10,Amazon Serviços de Varejo do Brasil LTDA,144.13,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
204528,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2024-05-01,BOTCONVERSA LTDA,899.0,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
