id,nome,partido,uf,email
220593,Abilio Brunini,PL,MT,dep.abiliobrunini@camara.leg.br
204379,Acácio Favacho,MDB,AP,dep.acaciofavacho@camara.leg.br
220714,Adail Filho,REPUBLICANOS,AM,dep.adailfilho@camara.leg.br
221328,Adilson Barroso,PL,SP,dep.adilsonbarroso@camara.leg.br
204560,Adolfo Viana,PSDB,BA,dep.adolfoviana@camara.leg.br
204528,Adriana Ventura,NOVO,SP,dep.adrianaventura@camara.leg.br
121948,Adriano do Baldy,PP,GO,dep.adrianodobaldy@camara.leg.br
74646,Aécio Neves,PSDB,MG,dep.aecioneves@camara.leg.br
136811,Afonso Hamm,PP,RS,dep.afonsohamm@camara.leg.br
178835,Afonso Motta,PDT,RS,dep.afonsomotta@camara.leg.br
160527,Aguinaldo Ribeiro,PP,PB,dep.aguinaldoribeiro@camara.leg.br
204495,Airton Faleiro,PT,PA,dep.airtonfaleiro@camara.leg.br
204549,AJ Albuquerque,PP,CE,dep.ajalbuquerque@camara.leg.br
73579,Alberto Fraga,PL,DF,dep.albertofraga@camara.leg.br
74696,Alberto Mourão,MDB,SP,dep.albertomourao@camara.leg.br
220538,Albuquerque,REPUBLICANOS,RR,dep.albuquerque@camara.leg.br
160559,Alceu Moreira,MDB,RS,dep.alceumoreira@camara.leg.br
204501,Alencar Santana,PT,SP,dep.alencarsantana@camara.leg.br
178972,Alex Manente,CIDADANIA,SP,dep.alexmanente@camara.leg.br
204571,Alex Santana,REPUBLICANOS,BA,dep.alexsantana@camara.leg.br
220542,Alexandre Guimarães,MDB,TO,dep.alexandreguimaraes@camara.leg.br
160545,Alexandre Leite,UNIÃO,SP,dep.alexandreleite@camara.leg.br
220554,Alexandre Lindenmeyer,PT,RS,dep.alexandrelindenmeyer@camara.leg.br
221148,Alfredinho,PT,SP,dep.alfredinho@camara.leg.br
220576,Alfredo Gaspar,UNIÃO,AL,dep.alfredogaspar@camara.leg.br
